Departure Time 1;From1;Day Of Week;To1;Departure Time 2;From2;To2;Type
26.12.2015 15:50;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 16:13;Одинцово;Дубки;Bus
26.12.2015 16:00;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 16:32;Одинцово;Дубки;Bus
26.12.2015 16:10;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 16:39;Одинцово;Дубки;Bus
26.12.2015 16:25;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 16:45;Одинцово;Дубки;Bus
26.12.2015 16:35;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 16:55;Одинцово;Дубки;Bus
26.12.2015 16:50;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 17:20;Одинцово;Дубки;Bus
26.12.2015 16:55;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 17:27;Одинцово;Дубки;Bus
26.12.2015 17:10;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 17:36;Одинцово;Дубки;Bus
26.12.2015 17:20;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 17:42;Одинцово;Дубки;Bus
26.12.2015 17:35;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 18:03;Одинцово;Дубки;Bus
26.12.2015 17:45;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 18:10;Одинцово;Дубки;Bus
26.12.2015 17:55;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 18:18;Одинцово;Дубки;Bus
26.12.2015 18:05;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 18:25;Одинцово;Дубки;Bus
26.12.2015 18:10;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 18:30;Одинцово;Дубки;Bus
26.12.2015 18:15;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 18:40;Одинцово;Дубки;Bus
26.12.2015 18:30;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 18:53;Одинцово;Дубки;Bus
26.12.2015 18:50;Дубки;ПН,ВТ,СР,ЧТ,ПТ;Одинцово;26.12.2015 19:13;Одинцово;Дубки;Bus
