Number;DepartureTime;DayOfWeek;From;To;Type
339;19.03.2016 12:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 12:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 12:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 12:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 12:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 12:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 13:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 13:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 13:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 13:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 13:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 13:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 14:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 14:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 14:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 14:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 14:40;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 14:50;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 15:00;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 15:10;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 15:20;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
339;19.03.2016 15:30;ПН,ВТ,СР,ЧТ,ПТ,СБ,ВС;Парк Победы;Одинцово;Bus
